Name,Title,Department,Education
Deepika Bahri,Professor,"Comparative Literature Department, Core
English Department, Core","MA, Jadavpur University, 1985
PhD, Bowling Green State University, 1992"
Angelika Bammer,Professor,"Comparative Literature Department, Director of Undergraduate Studies
Comparative Literature Department, Core","MA, Southern Methodist University, 1972
PhD, University of Wisconsin, 1982"
Shomu Banerjee,Professor of Pedagogy,"Economics Department, Core","PhD, University of Minnesota, 1992"
John Banja,"Professor, Center for Ethics","Neuroscience and Behavioral Biology Program, Other",1900
Alissa Bans,Lecturer,"Physics Department, Core","PhD, Astronomy and Astrophysics, University of Chicago, 2013"
David Barba,Assistant Professor,"Film and Media Department, Core",
Jessica Barber,Lecturer,"Psychology Department, Director of Undergraduate Studies
Psychology Department, Core","PhD, Virginia Commonwealth University, 2012"
Rob Schmidt Barracano,Senior Lecturer,"Film and Media Department, Core","MFA, Film Direction, American Film Institute Conservatory, 1994"
Gary Bassell,"Professor, Emory University School of Medicine","Neuroscience and Behavioral Biology Program, Other","PhD, University of Massachusetts Medical Center, 1992"
Patricia Bauer,"Asa Griggs Candler Professor and Senior Associate Dean (Research), Emory College of Arts and Sciences","Psychology Department, Core
Neuroscience and Behavioral Biology Program, Other","PhD, Miami University, 1985"
Christopher Beck,Professor of Pedagogy,"Biology Department, Core
Neuroscience and Behavioral Biology Program, Associated","PhD, University of Georgia, 1999
BS, College of William and Mary, 1993"
Jeremy Bell,Senior Lecturer,"Philosophy Department, Core","2010, Philosophy, DePaul University, Chicago, IL, PhD"
Dan Benardot,Professor of Practice,"Human Health, Core",
Marcela Benitez,Assistant Professor,"Anthropology Department, Core","PhD, Biological Anthropology and Biospychology, University of Michigan, 2016"
Geoffrey Bennington,Asa Griggs Candler Professor of Modern French Though,"Comparative Literature Department, Chair
French and Italian Studies Department, Core
Comparative Literature Department, Core","BA, University of Oxford, 1978
DPhil, University of Oxford, 1984
MA, University of Oxford, 1978"
Michael Berger,Associate Professor,"Jewish Studies Program, Director of Undergraduate Studies
Jewish Studies Program, Core
Religion Department, Core","BA, Princeton University, 1985
PhD, Columbia University, 1992
MA, Princeton University, 1988"
Keith Berland,Professor,"Physics Department, Core","BA, Oberlin College, 1989
PhD, University of Illinois, 1995
MS, University of Illinois, 1991"
Gordon Berman,Associate Professor,"Biology Department, Core","PhD, Physics, Cornell University, 2009"
Gregory Berns,Professor,"Psychology Department, Core
Economics Department, Core
Neuroscience and Behavioral Biology Program, Other","MD, University of California, San Diego, 1994
PhD, University of California, Davis, 1990"
Matthew Bernstein,Goodrich C. White Professor of Film and Media Studies,"Film and Media Department, Core
American Studies Program, Core
East Asian Studies, Core","BA, University of Wisconsin-Madison, 1980
MFA, Columbia University, 1982
PhD, University of Wisconsin-Madison, 1987"
Paul Bhasin,Senior Lecturer,"Music Department, Core","DMA, Conducting, University of Wisconsin-Madison, 2010"
Thomas Bing,Lecturer,"Physics Department, Director of Undergraduate Studies
Physics Department, Core","PhD, University of Maryland, 2008"
Sandra Blakely,Associate Professor,"Classics Department (Greek, Latin), Chair
Ancient Mediterranean Studies Program, Core
Classics Department (Greek, Latin), Core","BA, Brigham Young University, 1982
PhD, University of Southern California, Los Angeles, 1998"
Simon Blakey,Professor,"Chemistry Department, Core","BSc, University of Auckland, 1997
PhD, University of Cambridge, 2002"
Nancy Bliwise,Professor of Pedagogy,"Psychology Department, Core","BA, Cleveland State University, 1975
PhD, University of Chicago, 1982
MA, University of Chicago, 1979"
Monica Blizzard,Assistant Professor,"Spanish and Portuguese Department, Core","PhD, Latin American Literatures and Cultures, The Ohio State University, Columbus, OH, 2016"
Stefan Boettcher,Professor,"Physics Department, Chair
Physics Department, Core","Diploma, Kiel University, 1990
MA, Washington University, 1991
PhD, Washington University, 1993"
Jose Boigues-Lopez,Senior Lecturer,"Spanish and Portuguese Department, Core
Linguistics Program, Core","Other, University of Salamanca, Spain, 1993
PhD, UNED, Madrid, Spain, 2011
Other, University of Salamanca, Spain, 1995"
Alexander Bolton,Associate Professor,"Political Science Department, Core","Ph.D., Politics, Princeton University, Princeton, NJ, 2015"
Erin Bonning,Lecturer,"Physics Department, Core","PhD, University of Texas at Austin, 2004"
David Borthwick,Professor,"Mathematics Department, Core","PhD, Harvard University, 1993
BA, Princeton University, 1988"
Daniel Bosch,Lecturer,"English Department, Core","MA, Creative Writing, Boston University, Boston, MA, 11991"
Sara Botto,Lecturer,"Psychology Department, Core","PhD, Cognition and Development, Emory University, Atlanta, GA, 2020"
Joel Bowman,Samuel Candler Dobbs Professor,"Chemistry Department, Core","PhD, California Institute of Technology, 1974
BA, University of California, Berkeley, 1969"
R. Bracht Branham,Professor,"Comparative Literature Department, Core
Ancient Mediterranean Studies Program, Core
Classics Department (Greek, Latin), Core","BA, University of California, Berkeley, 1976
BA, University of Cambridge, 1978
PhD, University of California, Berkeley, 1983"
Antonio Brathwaite,Senior Lecturer,"Chemistry Department, Core","PhD, Chemistry, University of Georgia, Athens, GA, 2013"
Patricia Brennan,Samuel Candler Dobbs Professor,"Psychology Department, Chair
Psychology Department, Core
Neuroscience and Behavioral Biology Program, Associated","BS, University of Massachusetts, 1986
MA, University of Southern California, 1988
PhD, University of Southern California, 1992"
Christoph Breunig,Assistant Professor,"Economics Department, Core",
Jed Brody,Senior Lecturer,"Physics Department, Core","BS, Haverford College, 1999
PhD, Georgia Institute of Technology, 2003
MS, Georgia Institute of Technology, 1999"
Courtney Brown,Associate Professor,"Political Science Department, Core","BA, Rutgers University, 1974
PhD, Washington University, 1982
MA, San Francisco State University, 1979"
Jericho Brown,Charles Howard Candler Professor,"Creative Writing Program, Director
Creative Writing Program, Director of Undergraduate Studies
English Department, Core
Creative Writing Program, Core",
Peter Brown,Professor,"Anthropology Department, Core","BA, University of Notre Dame, 1973
PhD, State University of New York at Stony Brook, 1978
MA, State University of New York at Stony Brook, 1976"
Irene Browne,Associate Professor,"Sociology Department, Core","BA, University of California, Santa Cruz, 1979
MA, City University of New York, 1987
PhD, University of Arizona, 1991"
Martine Brownley,Goodrich C White Professor of English,"English Department, Core","BA, Agnes Scott College, 1969
PhD, Harvard University, 1975
MA, Harvard University, 1971"
Eric Brussel,Associate Professor,,"PhD, University of California, Los Angeles, 1993
BA, University of California, Santa Cruz, 1982"
Vincent Bruyere,Associate Professor,"French and Italian Studies Department, Core","PhD, University of Warwick, 2009"
Joanne Brzinski,Senior Associate Dean for Undergraduate Education,,"BA, Utah State University, 1985
PhD, University of Michigan, 1994
AM, University of Michigan, 1989"
Paul Buchholz,Associate Professor,"German Studies Department, Core","PhD, German Studies, Cornell University, Ithaca, NY, 2010"
Natalia Bueno,Assistant Professor,"Political Science Department, Core","PhD, Political Science, Yale University, New Haven, CT, 2017"
Elizabeth Buffalo,"Associate Professor, Emory University School of Medicine",,"Other, Wellesley College, Wellesley, 1992
Other, University of California, San Diego, CA, 1998
Other, St. Hilda\'s College, Oxford University, Oxford, U.K., 1991"
Julia Bullock,Professor,"East Asian Studies, Core
Russian and East Asian Languages and Cultures (Chinese, Japanese, Korean, Russian), Core","BA, University of Alabama at Tuscaloosa, 1992
MA, University of California at Berkeley, 1997
PhD, Stanford University, 2004"
Emily Burchfield,Assistant Professor,"Environmental Sciences Department, Core",
Justin Burton,Associate Professor,"Physics Department, Core","PhD, University of California, Irvine, 2006"
Nsenga Burton,Senior Lecturer,"Film and Media Department, Core","PhD, Critical Studies, University of Southern California, Los Angeles, CA, 2005"
Patrick Cafferty,Senior Lecturer,"Biology Department, Core
Neuroscience and Behavioral Biology Program, Associated","Ph.D, McGill University  , 2006
MSc, McGill University, 2000
BSc, University of New Brunswick, 1998 "
Patricia Cahill,Associate Professor,"English Department, Core","BA, Wellesley College, 1984
PhD, Columbia University, 2000
MS, Columbia University, 1995"
Ronald Calabrese,Samuel Candler Dobbs Professor,"Biology Department, Core
Neuroscience and Behavioral Biology Program, Associated","BS, Cornell University, 1969
PhD, Stanford University, 1975
Other, Stanford University, 1970"
C.Jean Campbell,Professor,"Art History Department, Core
Medieval Studies Program, Core","BA, University of Toronto, 1984
PhD, The Johns Hopkins University, 1992
MA, The Johns Hopkins University, 1986"
Celia Campbell,Assistant Professor,"Classics Department (Greek, Latin), Core","DPhil, Latin Language and Literature, Trinity College, University of Oxford, Oxford, United Kingdom, 2014"
Kathleen Campbell,Senior Lecturer,"Biology Department, Core","BS , University of California, Santa Cruz, 1979
Ph.D, University of Wyoming, 1984, 1984"
Mariana Candido,Associate Professor,"History Department, Core","PhD, African History, York University, 2006"
C. Monica Capra,Associate Professor,"Latin American and Caribbean Studies Program, Core
Economics Department, Core
Neuroscience and Behavioral Biology Program, Other","Other, Pearson College, 1989
BA, Franklin and Marshall College, 1992
PhD, University of Virginia, 1999"
Michael Carr,Lecturer,"Mathematics Department, Director of Undergraduate Studies
Mathematics Department, Core","PhD, Mathematics, Brandeis University, 2015"
Maria Carrion,Professor,"Religion Department, Chair
Religion Department, Core
Comparative Literature Department, Core
Medieval Studies Program, Core","MA, University of Tennessee, 1985
BA, University of Puerto Rico, 1981
MS, University of Puerto Rico, 1983
MPhil, Yale University, 1987
PhD, Yale University, 1990"
Clifford Carrubba,Associate Professor,"Institute for Quantitative Theory and Methods, Chair
Political Science Department, Core
Institute for Quantitative Theory and Methods, Core","PhD, Stanford University, 1998
BA, Duke University, 1991"
Kenneth Carter,"Associate Professor, Oxford College of Emory University","Neuroscience and Behavioral Biology Program, Other",1900
Achille Castaldo,Assistant Professor,"French and Italian Studies Department, Core","PhD, Romance Studies, Duke University, Durham, NC, 2019"
Gregory Catellier,Professor of Pedagogy,"Dance Program, Core
Theater and Dance Department, Core","BA, Arizona State University, 1993
MFA, Ohio State University, 2001"
Sheila Cavanagh,Professor,"English Department, Core","BA, Georgetown University, 1978
PhD, Brown University, 1988
MA, Georgetown University, 1984"
Alix Chapman,Assistant Professor,"African American Studies Department, Core","PhD, University of Texas at Austin, 2013"
Guangchen Chen,Assistant Professor,"Russian and East Asian Languages and Cultures (Chinese, Japanese, Korean, Russian), Core","PhD, Comparative Literature, Harvard University, Cambridge, MA, 2017"
Kaiji Chen,Associate Professor,"Economics Department, Core","Ph.D, University of Southern California, 2005
MA, Fudan University, China, 2000
BA, Shanghai Institute of Foreign Trade, China, 1997"
Hsu-Te (Johnny) Cheng,Senior Lecturer,"Russian and East Asian Languages and Cultures (Chinese, Japanese, Korean, Russian), Core","Ph.D., Linguistics, University of Connecticut, Storrs, CT, 2013"
Yuk Cheong,Associate Professor,,"BA, University of Hong Kong, 1985
PhD, Michigan State University, 1997
MA, Michigan State University, 1989"
Sam Cherribi,Senior Lecturer,"Middle Eastern and South Asian Studies Department (Arabic, Hebrew, Hindi, Persian, Tibetan), Core","MA, University of Rabat, 1982
MA, University of Amsterdam, 1987
PhD, University of Amsterdam, 2000"
Shun Cheung,Associate Professor,"Computer Science Department, Core","Other, Delft University, 1981
PhD, Georgia Institute of Technology, 1990
MS, Georgia Institute of Technology, 1987
Other, Delft University, 1984"
Adriana Chira,Assistant Professor,"History Department, Core","Ph.D., Anthropology and History, University of Michigan, Ann Arbor, MI, 2016"
Hwisang Cho,Assistant Professor,"Russian and East Asian Languages and Cultures (Chinese, Japanese, Korean, Russian), Core","PhD, East Asian Languages and Cultures, Columbia University, New York, NY, 2010"
In Koo Cho,Asa Griggs Candler Professor,"Economics Department, Core",
Bumyong Choi,Senior Lecturer,"Russian and East Asian Languages and Cultures (Chinese, Japanese, Korean, Russian), Core","PhD, University of Hawaii, 2011
MA, Ohio State University, 2004
MA, Yonsei University, Seoul, 1998
BA, Yonsei University, Seoul, 1996"
Jinho Choi,Associate Professor,"Institute for Quantitative Theory and Methods, Core
Linguistics Program, Core
Computer Science Department, Core","PhD, Computer Science and Cognitive Science, University of Colorado Boulder, Boulder, CO, 2012"
Elena Cholakova,Lecturer,"Music Department, Core","DMus, Piano Performance, Northwestern University, 2010"
Heather Christle,Assistant Professor,"Creative Writing Program, Core
English Department, Core",
Jason Ciejka,Assistant Dean,,"PhD, Art History, Emory University, 2012"
David Civitello,Assistant Professor,"Biology Department, Core","Ph.D., Ecology, Evolution and Behavior, Indiana University, Bloomington, IN, 2013"
David Civitello,Assistant Professor,"Biology Department, Core","PhD, Ecology, Evolution and Behavior, Indiana University, 2013"
Thomas Clark,Professor,"Political Science Department, Core","BA, Rutgers University, 2003
MA, Princeton University, 2005
PhD, Princeton University, 2008"
Robyn Clarke,Senior Lecturer,"Spanish and Portuguese Department, Core
Linguistics Program, Core","MA, University of Georgia, 1999
AB, University of Georgia, 1991"
Shai Cohen,Lecturer,"Middle Eastern and South Asian Studies Department (Arabic, Hebrew, Hindi, Persian, Tibetan), Core","PhD, Linguistics, University of Massachusetts, Amherst, Amherst, MA, 2009"
Megan Cole,Lecturer,"Biology Department, Core","PhD, Massachusetts Institute of Technology, 2008"
Vincent Conticello,Professor,"Chemistry Department, Core","BS, University of Delaware, 1985
PhD, Northwestern University, 1990
MS, Northwestern University, 1986"
T Cooper,Assistant Professor,"Creative Writing Program, Core
English Department, Core","MFA, Columbia University, New York, NY, 2001"
Anita Corbett,Samuel Candler Dobbs Professor,"Biology Department, Core","Ph.D., Biochemistry, Vanderbilt University, Nashville, TN, 1992"
Chad Cordova,Instructor/Assistant Professor,"French and Italian Studies Department, Core","PhD, French and Italian, Princeton, Princeton, NJ, 2018"
Rkia Cornell,Professor of Pedagogy,"Middle Eastern and South Asian Studies Department (Arabic, Hebrew, Hindi, Persian, Tibetan), Core
Medieval Studies Program, Core",1900
Vincent Cornell,Asa Griggs Candler Professor of Middle Eastern and Islamic Studies,"Middle Eastern and South Asian Studies Department (Arabic, Hebrew, Hindi, Persian, Tibetan), Core
Medieval Studies Program, Core","PhD, University of California, Los Angeles, 1989
BS, University of California, Berkeley, 1974"
Kevin Corrigan,Samuel Candler Dobbs Professor of Interdisciplinary Humanities,"Medieval Studies Program, Core
Middle Eastern and South Asian Studies Department (Arabic, Hebrew, Hindi, Persian, Tibetan), Core
Ancient Mediterranean Studies Program, Core","BA, Lancaster University, 1975
PhD, Dalhousie University, 1980
MA, Dalhousie University, 1977"
Melissa Cox,Senior Lecturer,"Music Department, Core","DMA, University of Arizona, "
Linda Craighead,Professor,"Psychology Department, Core","BA, Vanderbilt University, 1972
PhD, Pennsylvania State University, 1976
MS, Pennsylvania State University, 1974"
W. Craighead,J Rex Fuqua Chair in Child Psychiatry and Director of the Child and Adolescent Mood Program,"Psychology Department, Core","Ph.D., University of Illinois at Urbana-Champaign, 1970"
Clifton Crais,Professor,"Institute of African Studies Program, Core
History Department, Core","BA, University of Maryland, 1982
MA, Johns Hopkins University, 1984
PhD, Johns Hopkins University, 1988"
Christina Crawford,Associate Professor,"Art History Department, Core","Ph.D., Architecture, Landscape Architecture and Urban Planning, Harvard University, Cambridge, MA, 2016"
Joseph Crespino,Jimmy Carter Endowed Chair,"American Studies Program, Core
History Department, Core","BA, Northwestern University, 1994
MA, University of Mississippi, 1996
MA, Stanford University, 2002
PhD, Stanford University, 2002"
Stephen Crist,Professor,"Music Department, Chair
American Studies Program, Core
Music Department, Core","BA, Harvard University, 1978
MM, University of South Florida, 1980
PhD, Brandeis University, 1988"
Todd Cronan,Assistant Professor,"Art History Department, Core","BA, University of California, Berkeley, 1994
PhD, University of California, Berkeley, 2005
MA, The John Hopkins University, 2002"
Cheryl Crowley,Associate Professor,"East Asian Studies, Director
East Asian Studies, Director of Undergraduate Studies
Russian and East Asian Languages and Cultures (Chinese, Japanese, Korean, Russian), Core
East Asian Studies, Core","BA, Randolph-Macon Women\'s College, 1985
PhD, Columbia University, 2000
MA, University of Pennsylvania, 1992"
Michael Crutcher,Lecturer,"Neuroscience and Behavioral Biology Program, Core","PhD, Johns Hopkins University, 1982"
Sara Culpepper,Senior Lecturer,"Theater and Dance Department, Core",
Yacine Daddi Addoun,Visiting Assistant Professor,"Institute of African Studies Program, Director of Undergraduate Studies
Institute of African Studies Program, Core","PhD, York University, Toronto, Canada, 2010"
Catherine Dana,Senior Lecturer,"Jewish Studies Program, Core
French and Italian Studies Department, Core","MA, Yale University, 
Ph.D, Yale University, "
Huw Davies,Asa Griggs Candler Professor,"Chemistry Department, Core","PhD, University of East Anglia, UK, 1980
BSc, University College Cardiff, UK, 1977"
David Davis,Associate Professor,"Political Science Department, Core","PhD, University of Colorado, 1991
BA, University of Maryland, 1985"
Katherine Davis,Assistant Professor,"Chemistry Department, Core","PhD, Purdue University, 2014"
Jacobus De Roode,Professor,"Biology Department, Core","PhD, University of Edinburgh, 2005
MA, Wageningen University, Netherlands, 2000"
Roger Deal,Associate Professor,"Biology Department, Core","Ph.D, University of Georgia, 2006
BS, University of South Carolina, , 1999"
Anita Devineni,Assistant Professor,"Biology Department, Core","PhD, Neuroscience , University of California, San Francisco, San Francisco, CA, 2012"
Hashem Dezhbakhsh,Goodrich C. White Professor of Economics,"Economics Department, Chair
Economics Department, Core","PhD, Ohio State University, 1989"
Katrina Dickson,Lecturer,"Ancient Mediterranean Studies Program, Core
Classics Department (Greek, Latin), Core","Ph.D, Emory University, 2002
BA, Duke University, 1989
MA, Emory University, 1996"
Daniel Dilks,Associate Professor,"Psychology Department, Core
Neuroscience and Behavioral Biology Program, Associated","Ph.D, Johns Hopkins University, 2005"
Lisa Dillman,Senior Lecturer,"Spanish and Portuguese Department, Core","BA, University of California, San Diego, 1989
MA, Middlesex University, 1998
MA, Emory University, 1993"
Patricia Dinkins-Matthews,Senior Lecturer,"Music Department, Core","DMA, Piano Pedagogy and Performance, University of Colorado, 1992"
Angela Dixon,Assistant Professor,"Sociology Department, Core","PhD, Sociology and Social Policy, Princeton University, Princeton, NJ, 2018"
Shaunna Donaher,Senior Lecturer,"Environmental Sciences Department, Core","PhD, Meteorology and Physical Oceanography, University of Miami, Miami, FL, 2012"
Timothy Dowd,Associate Professor,"American Studies Program, Core
Sociology Department, Core","BA, Grand Canyon College, 1986
PhD, Princeton University, 1996
MA, Arizona State University, 1988"
Pearl Dowe,Asa Griggs Candler Professor,"Political Science Department, Core
African American Studies Department, Core",
Dwight Duffus,Goodrich C White Professor,"Mathematics Department, Core","BA, University of Regina, 1974
PhD, University of Calgary, 1979
MSc, University of Alberta, 1976"
Marshall Duke,Charles Howard Candler Professor,"Psychology Department, Core","PhD, Indiana University, 1968
BA, Rutgers University, 1964"
John Duncan,Associate Professor,"Mathematics Department, Core","PhD, Mathematics, Yale University, 2006"
Brian Dyer,Samuel Candler Dobbs Professor of Chemistry,"Chemistry Department, Chair
Chemistry Department, Core","Ph.D, Duke University, 1985  
BS, Wake Forest University, 1981"
Chris Eagle,Senior Lecturer,"Human Health, Core","PhD, English Literature, University of California, Berkeley, 2009"
Janeria Easley,Assistant Professor,"African American Studies Department, Core",
Keith Easterling,Senior Lecturer,"Neuroscience and Behavioral Biology Program, Core","BS, Jacksonville State University, 1988
PhD, University of Georgia, 1993
MS, University of Georgia, 1990"
Astrid M. Eckert,Professor,"History Department, Core","MA, Free University of Berlin, 1998
MA, University of Michigan, 1995
PhD, Free University of Berlin, 2003"
Henry Edelhauser,"Professor, Emory University School of Medicine","Neuroscience and Behavioral Biology Program, Other","BA, Paterson State College, 1962
PhD, Michigan State University, 1966
MA, Michigan State University, 1964"
David Edwards,Charles Howard Candler Professor of Behavioral Neuroscience,"Psychology Department, Core
Neuroscience and Behavioral Biology Program, Associated","PhD, University of California, Irvine, 1968
BA, Reed College, 1964"
Arri Eisen,Nat C. Robertson Distinguished Teaching Chair in Science and Society,"Biology Department, Core
Institute of the Liberal Arts Department, Core","BS, University of North Carolina, Chapel Hill, 1985
PhD, University of Washington, 1990"
Nosayba El-Sayed,Lecturer,"Computer Science Department, Core","PhD, Computer Science, University of Toronto, Toronto, Canada, 2016"
Michael Elliott,"Charles Howard Candler Professor of English and Dean, Emory College of Arts and Sciences","American Studies Program, Core
English Department, Core","BA, Amherst College, 1992
MA, Columbia University, 1993
PhD, Columbia University, 1998"
Laura Emmery,Associate Professor,"Music Department, Core","Ph.D., Music Theory, University of California, Santa Barbara, Santa Barbara, CA, 2014"
Eugene Emory,Professor,"Psychology Department, Core
Neuroscience and Behavioral Biology Program, Associated","BS, Edward Waters College, 1969
PhD, University of Florida, 1978
MEd, University of Florida, 1973"
Mikhail Epstein,Samuel Candler Dobbs Professor of Cultural Theory and Russian Literatute,"Comparative Literature Department, Core
Russian and East European Studies, Core
Russian and East Asian Languages and Cultures (Chinese, Japanese, Korean, Russian), Core","PhD, Moscow State University, 1989
BA, Moscow State University, 1972"
W. Escobar,Senior Lecturer,"Biology Department, Core","PhD, University of California, Santa Cruz, 1992
BS, University of California, Davis, 1985"
Bree Ettinger,Lecturer,"Mathematics Department, Core","PhD, University of Georgia, 2008"
Francesco Evangelista,Associate Professor,"Chemistry Department, Core","Ph.D, University of Georgia , 2008
BSc, University of Pisa (Pisa, Italy), 2004"
Judith Evans-Grubbs,Betty Gage Holland Professor of Roman History,"Ancient Mediterranean Studies Program, Core
History Department, Core","BA, Emory University, 1978
Ph.D, Stanford University, 1987"
Michael Evenden,Associate Professor,"Theater and Dance Department, Core","BA, Brigham Young University, 1979
Other, Yale University, 1987
MFA, Yale University, 1983"
Hernan Feldman,Associate Professor,"Latin American and Caribbean Studies Program, Core
Spanish and Portuguese Department, Core","BA, Universidad de Buenos Aires, 1997
PhD, Indiana University, 2005
MA, Indiana University, 2001"
Jennifer Feldman,Lecturer,"Spanish and Portuguese Department, Director of Undergraduate Studies
Spanish and Portuguese Department, Core","MAT, Indiana University, 2000"
Shoshana Felman,Robert W. Woodruff Professor of Comparative Literature and French,"French and Italian Studies Department, Core
Comparative Literature Department, Core","Ph.D, University of Grenoble (France), 1970"
Aisha Finch,Associate Professor,"Women's, Gender and Sexuality Studies Department, Core","PhD, History, New York University, New York, NY, 2007"
Shlomit Finkelstein,Adjunct Lecturer,,"PhD, Georgia Institute of Technology, 1987"
Laura Finzi,Professor,"Physics Department, Core","BS, University of Bologna, 1984
PhD, University of New Mexico, 1990
MS, University of New Mexico, 1987"
Robyn Fivush,Samuel Candler Dobbs Professor,"Institute of the Liberal Arts Department, Director
Psychology Department, Core","BA, State University of New York at Stony Brook, 1975
PhD, City University of New York, 1982
MA, New School for Social Research, 1977"
Caroline Fohlin,Professor,"Economics Department, Core","PhD, Economics, University of California, Berkeley, 1994"
Lydia Fort,Assistant Professor,"Theater and Dance Department, Core","MFA, Directing, University of Washington, 2006"
Davide Fossati,Lecturer,"Computer Science Department, Core","Ph, Computer Science, University of Illinois, Chicago, Chicago, IL, 2009"
Bernard Fraga,Associate Professor,"Political Science Department, Core","PhD, Government and Social Policy, Harvard University, Cambridge, MA, 2013"
Jason Francisco,Associate Professor,"Film and Media Department, Core","BA, Columbia University, 1989
MA, University of Wisconsin - Madison, 1994
MFA, Stanford University, 1998"
Roberto Franzosi,Professor,"Linguistics Program, Core
Sociology Department, Core","PhD, Johns Hopkins University, 1981
BA, University of Genoa, 1975"
Amanda Freeman,Senior Lecturer,"Human Health, Director of Undergraduate Studies
Human Health, Core","PhD, Neuroscience, Emory University, Atlanta, GA, 2006"
Carla Freeman,Goodrich C. White Professor,"Women's, Gender and Sexuality Studies Department, Core
Latin American and Caribbean Studies Program, Core","AB, Bryn Mawr College, 1983
PhD, Temple University, 1993"
Kristen Frenzel,Professor of Pedagogy,"Neuroscience and Behavioral Biology Program, Core","BSc, Georgia Institute of Technology, 1991
PhD, Emory University, 2001"
Andreas Fritz,Associate Professor,"Biology Department, Core","PhD, University of Basel, 1988
BA, University of Basel, 1983"
Jia-Chen (Wendy) Fu,Associate Professor,"Russian and East Asian Languages and Cultures (Chinese, Japanese, Korean, Russian), Core","PhD, History, Yale University, 2009"
Emily Gade,Assistant Professor,"Political Science Department, Core","PhD, Political Science, University of Washington, 2017"
Susan Gagliardi,Associate Professor,"Institute of African Studies Program, Core
Art History Department, Core","PhD, University of California, Los Angeles, 2010"
Jennifer Gandhi,Professor ,"Political Science Department, Chair
Political Science Department, Core","BA, Columbia University, 1996
PhD, New York University, 2004"
R Garibaldi,Professor,,"PhD, UC San Diego, 1998
BS, Purdue University, 1992"
Nicole Gerardo,Professor,"Biology Department, Core","BA, Rice University, 1997
PhD, University of Texas, 2004"
