Name,Title,department,Education
 Brian Akins,. Associate Professor of Accounting, Environmental and Planetary Sciences,BS (1997) University of Texas–Austin; MBA (2006) Rice University; MA (2008) Lubbock Christian University; PhD (2012) Massachusetts Institute of Technology
 Alessandro Alabastri,. Assistant Professor of Electrical and Computer Engineering, Environmental and Planetary Sciences,"BSc (2007), MSc (2009) Polytechnic University-Milan; PhD (2014) Italian Institute of Technology and University of Genoa, Italy"
 Francis Albarede,. Weiss Visiting Professor of Earth, Environmental and  Planetary Sciences,PhD (1976) University of Paris 7
 Andrew Albers,. Lecturer of Architecture, Environmental and  Planetary Sciences,BS (1995) Georgia Institute of Technology; MArch (1999) Rice University
 Lawrence B. Alemany,. NMR Manager and Lecturer of Chemistry, Environmental and  Planetary Sciences,BS (1975) City College of New York; PhD (1980) University of Chicago
 David Alexander,. Professor of Physics and Astronomy, Director of Rice Space Institute,"BSc (1985), PhD (1988) University of Glasgow, Scotland"
 Ernesto Alfaro,. Lecturer of Architecture, Director of Rice Space Institute,BA (1996) Columbia University; MArch (2000) Rice University
 John R. Alford,. Professor of Political Science, Director of Rice Space Institute,"BS (1975), MPA (1977) University of Houston; MA (1980), PhD (1981) University of Iowa"
 Genevera I. Allen,. Associate Professor of Electrical and Computer Engineering, Statistics and Computer Science,BA (2006) Rice University; PhD (2010) Stanford University
 Gokalp Alpan,. G.C. Evans Instructor of Mathematics, Statistics and Computer Science,"BS (2010), MS (2012), PhD (2017) Bilkent University"
 Pedro J. J. Alvarez,. George R. Brown Professor of Civil and Environmental Engineering, Professor of Chemistry and Chemical & Biomolecular Engineering,"BEng (1982) McGill University; MSE (1989), PhD (1992) University of Michigan"
 Karim Al-Zand,. Professor of Composition and Theory, Professor of Chemistry and Chemical & Biomolecular Engineering,BM (1993) McGill University; PhD (2000) Harvard University
 Catherine G. Ambrose,. Adjunct Associate Professor of Bioengineering, Professor of Chemistry and Chemical & Biomolecular Engineering,"BS (1987) Washington University–St. Louis; MS (1989), PhD (1992) University of Texas–Austin"
 Mustafa Amin,. Associate Professor of Physics and Astronomy, Professor of Chemistry and Chemical & Biomolecular Engineering,BS (2003) University of Texas–Arlington; PhD (2006) Stanford University
 Steven Amstutz,. Lecturer of Education, Professor of Chemistry and Chemical & Biomolecular Engineering,BS (1981) Wheaton College; MEd (1985) University of Houston
 Piyush Anand,. Assistant Professor of Marketing, Professor of Chemistry and Chemical & Biomolecular Engineering,B.Tech (2010) Indian Institute of Management Guwahati; PGDM (2014) Indian Institute of Management Ahmedabad; PhD (2021) Cornell University
 Sharmila Anandasabapathy,. Adjunct Professor of Bioengineering, Professor of Chemistry and Chemical & Biomolecular Engineering,BA (1993) Yale University; MD (1998) Albert Einstein College of Medicine
 Roberta Anding,. Lecturer of Kinesiology, Professor of Chemistry and Chemical & Biomolecular Engineering,"BS (1977), MS (1980) Louisiana State University"
 Athanasios C. Antoulas,. Professor of Electrical and Computer Engineering, Professor of Chemistry and Chemical & Biomolecular Engineering,"Diploma in Electrical Engineering (1975), Diploma in Mathematics (1975), PhD (1980) Eidgenösische Technische Hochschule, Switzerland"
 Jaime Aparicio,. Lecturer of Kinesiology, Professor of Chemistry and Chemical & Biomolecular Engineering,BS (2002) Texas A&M University; BS (2009) University of Texas–Pan American; DPT (2014) Texas Women's University
 José F. Aranda,. Professor of English and Spanish, Portuguese and Latin American Studies,"BA (1984) Yale University; MA (1988), PhD (1995) Brown University"
 Sivaram Arepalli,. Adjunct Professor of Chemical and Biomolecular Engineering, Portuguese and Latin American Studies,"BS (1968) Andhra University; MS (1971), PhD (1979) Indian Institute of Technology"
 Dilip Asthagiri,. Associate Research Professor of Chemical and Biomolecular Engineering, Portuguese and Latin American Studies,BS (1992) Indian Institute of Technology; MS (1994) University of Michigan–Ann Arbor; PhD (1999) University of Delaware
 Robert Atherholt,. Professor of Oboe, Portuguese and Latin American Studies,"BMus (1976), MMus (1977) Juilliard School of Music"
 E. Neely Atkinson,. Senior Lecturer of Statistics, Portuguese and Latin American Studies,"BA (1975), MA (1981), PhD (1981) Rice University"
 Aydin Babakhani,. Senior Lecturer of Statistics, Portuguese and Latin American Studies,"BA (1975), MA (1981), PhD (1981) Rice University"
 Benedicte Bachelot,. Huxley Research Instructor of BioSciences, Portuguese and Latin American Studies,MS (2011) Michigan State University; PhD (2015) Columbia University 
 Kerry E. Back,. J. Howard Creekmore Professor of Finance, Portuguese and Latin American Studies,BA (1978) Western Kentucky University; PhD (1983) University of Kentucky
 Graham Bader,. Associate Professor of Art History, Department Chair of Art History,"BA (1991) Yale University; MA (1995) Williams College; MA (2000), PhD (2005) Harvard University"
 Kyung-Hee Bae,. Lecturer of the Program in Writing and Communication, Department Chair of Art History,BS (1993) Seoul Women’s University; MA (2003) University of Houston
 Fatima Baig,. Lecturer of German, Department Chair of Art History,BA (2001) Rupert Charles University; PhD (2011) University of Iowa
 Lisa A. Balabanlilar,. Professor of History, Department Chair of Transnational Asian Studies,"BA (1998) Portland State University; MA (2003), PhD (2007) Ohio State University"
 Guha Balakrishnan,. Assistant Professor of Electrical and Computer Engineering, Department Chair of Transnational Asian Studies,"BSE (2011) University of Michigan; MS (2013), PhD (2018) Massachusetts Institute of Technology"
 Karthik Balakrishnan,. Vernon S. Mackey, Jr. & Verne F. Simons Distinguished Associate Professor of Accounting,BE (2001) National Institute of Technology; MBA (2003) Indian School of Business; PhD (2010)  New York University
 Zachary T. Ball,. Professor of Chemistry, Jr. & Verne F. Simons Distinguished Associate Professor of Accounting,AB (1999) Harvard University; PhD (2004) Stanford University
 Hailey Ballew,.Assistant Professor of Accounting, Jr. & Verne F. Simons Distinguished Associate Professor of Accounting,BS (1999) University of Kansas; PhD (2019) Ohio State University
 Gang Bao,. Foyt Family Professor of Bioengineering, Professor of Chemistry,"BS (1976) Shandong University; (1981) MSc, Shandong University; PhD (1987) Lehigh University"
 Richard G. Baraniuk,. C. Sidney Burrus Professor of Engineering, Professor of Electrical and Computer Engineering and Computer Science,BS (1987) University of Manitoba; MS (1988) University of Wisconsin; PhD (1992) University of Illinois
 Matthew G. Baring,.Professor of Physics and Astronomy, Professor of Electrical and Computer Engineering and Computer Science,"BS (1983) University of Melbourne; PhD (1989) Trinity College, Cambridge"
 Tani E. Barlow,. George and Nancy Rupp Professor of Humanities, Professor of Electrical and Computer Engineering and Computer Science,"BA (1975) San Francisco State University; MA (1979), PhD (1985) University of California–Davis"
 Arko Barman,. Assistant Teaching Professor in Data to Knowledge Lab and Electrical and Computer Engineering, Professor of Electrical and Computer Engineering and Computer Science,BE (2009) Jadavpur University; ME (2011) Indian Institute of Science; PhD (2018) University of Houston
 Gregory Barnett,. Professor of Musicology, Professor of Electrical and Computer Engineering and Computer Science,"BA (1988) Oberlin College; MFA (1992), PhD (1997) Princeton University"
 Allen Barnhill,. Associate Professor of Trombone, Professor of Electrical and Computer Engineering and Computer Science,BM (1977) Eastman School of Music
 Enrique V. Barrera,. Professor of Materials Science and NanoEngineering, Professor of Electrical and Computer Engineering and Computer Science,"BS (1979), MS (1985), PhD (1987) University of Texas–Austin"
 Deborah Barrett,. Professor of the Practice of Professional Communication, Professor of Electrical and Computer Engineering and Computer Science,"BA (1972), MA (1977) University of Houston; PhD (1983) Rice University"
 Bonnie Bartel,. Ralph and Dorothy Looney Professor of BioSciences, Professor of Electrical and Computer Engineering and Computer Science,BA (1983) Bethel College; PhD (1990) Massachusetts Institute of Technogoly
 Karen Basen-Engquist,. Adjunct Professor of Kinesiology, Professor of Electrical and Computer Engineering and Computer Science,BA (1982) Saint Olaf College; PhD (1989) University of Texas; MPH (1990) University of Texas School of Public Health
 Lisa Basgal,. Lecturer of Kinesiology, Professor of Electrical and Computer Engineering and Computer Science,BA (1993) Marquette University; MA (2005) Villanova University
 Caleb Bashor,. Assistant Professor of Bioengineering and BioSciences, Professor of Electrical and Computer Engineering and Computer Science,BA (1999) Reed College; PhD (2010) University of California–San Francisco
 Yildiz Bayazitoglu,. Harry S. Cameron Professor of Mechanical Engineering and of Materials Science and NanoEngineering, Professor of Electrical and Computer Engineering and Computer Science,"BS (1967) Middle East Technological University; MS (1969), PhD (1974) University of Michigan"
 Robert Beaird,. Instructor of Physics and Astronomy, Professor of Electrical and Computer Engineering and Computer Science,"BS (2003) Centenary College of Louisiana; MS (2008), PhD (2011) Louisiana State University"
 Beth Beason-Abmayr,. Teaching Professor of BioSciences, Professor of Electrical and Computer Engineering and Computer Science,BS (1990) Auburn University; PhD (1996) University of Alabama at Birmingham
 Michael S. Beauchamp,. Adjunct Professor of Psychological Sciences and Electrical and Computer Engineering, Professor of Electrical and Computer Engineering and Computer Science,"AB (1992) Harvard University; MS (1994), PhD (1997) University of California–San Diego"
 Lydia Beaudrot,. Assistant Professor of BioSciences, Professor of Electrical and Computer Engineering and Computer Science,BA (2005) Middlebury College; PhD (2014) University of California–Davis
 Kathleen M. Beckingham,. Professor of BioSciences, Professor of Electrical and Computer Engineering and Computer Science,"BA (1967), MA (1968), PhD (1972) University of Cambridge"
 Philip B. Bedient,. Herman Brown Professor of Engineering, Department Chair of Civil and Environmental Engineering,"BS (1969), MS (1972), PhD (1975) University of Florida"
 Charles E. Begley,. Adjunct Associate Professor of Economics, Department Chair of Civil and Environmental Engineering,"BS (1969) Northern Arizona University; MA (1972), PhD (1978) University of Texas–Austin"
 Marek Behr,. Adjunct Professor of Chemical and Biomolecular Engineering, Department Chair of Civil and Environmental Engineering,"BS (1988), PhD (1992) University of Minnesota"
 Richard Behringer,. Adjunct Professor of BioSciences, Department Chair of Civil and Environmental Engineering,PhD (1986) University of South Carolina
 Margaret E. Beier,. Professor of Psychological Sciences, Magister of McMurtry College,"BA (1988) Colby College; MS (1999), PhD (2003) Georgia Institute of Technology"
 Maria Bejan,. Senior Lecturer, Magister of McMurtry College,"BSc (1997) University of Bucharest, Romania; MA (1999), PhD (2004) University of Carlos III of Madrid, Spain"
 Katerina Belik,. Lecturer of the Program in Writing and Communication, Magister of McMurtry College,"BA (1993), PhD (1995) Kuban State University, Russia"
 Mario J. Bencomo,. Pfeiffer Postdoctoral Instructor of Computational and Applied Mathematics, Magister of McMurtry College,"BS (2010) University of Texas-El Paso; MA (2015), PhD (2017) Rice University"
 Charla Bennaji,. Lecturer of Spanish, Magister of McMurtry College,BA (1999) Thiel College; MA (2005) University of Houston
 Matthew Bennett,. Professor of BioSciences and BioEngineering, Magister of Will Rice College,"BS (2000), PhD (2006) Georgia Institute of Technology"
 Yehuda Ben-Zion,. Wiess Visiting Professor, Magister of Will Rice College,BSc (1982) The Hebrew University of Jerusalem; PhD (2000) University of Southern California
 Josh Bernstein,. Lecturer of Studio Art, Magister of Will Rice College,BA (2000) Amherst College; MFA (2008) Rutgers University
 Roberto Bertolusso,. Lecturer of Statistics, Magister of Will Rice College,"BS (1999) Universitad de Buenos Aires; MA (2009), PhD (2011) Rice University"
 Vasudha Bharadwaj,. Lecturer of the Program in Writing and Communication, Magister of Will Rice College,"BA (1997), MA (1999) University of Delhi; PhD (2011) University of Rochester   "
 Kevin Thomas Biddle,. Adjunct Professor of Earth, Environmental and Planetary Sciences,BSc (1973) University of California-Santa Cruz; MA (1976) PhD (1979) University of Houston
 K. K. Bissada,. Adjunct Professor of Earth, Environmental and Planetary Sciences,"BSc (1962) University of Assiut, Egypt; MS (1965), PhD (1967) Washington University"
 Sibani Lisa Biswal,. William M. McCardell Professor in Chemical Engineering, Professor of Chemical and Biomolecular Engineering and of Materials Science and NanoEngineering,"BS (1999) California Institute of Technology; MS (2001), PhD (2004) Stanford University"
 James B. Blackburn,. Professor in the Practice of Environmental Law, Professor of Chemical and Biomolecular Engineering and of Materials Science and NanoEngineering,"BA (1969), JD (1972) University of Texas–Austin; MS (1974) Rice University"
 Damian Blättler,. Assistant Professor of Music Theory, Professor of Chemical and Biomolecular Engineering and of Materials Science and NanoEngineering,"AB (2006) Harvard University, MA, MPhil (2008), PhD (2013) Yale University"
 Martin Blumenthal-Barby,. Associate Professor of German Studies, Professor of Chemical and Biomolecular Engineering and of Materials Science and NanoEngineering,"MA, MPhil (2006), PhD (2008) Yale University"
 Nina Bobkova,. Assistant Professor of Economics, Professor of Chemical and Biomolecular Engineering and of Materials Science and NanoEngineering,BA (2011) Univeristy of Giessen; MSc (2012) University College London; PhD (2018) University of Bonn
 Aymara Boggiano,. Lecturer of Spanish, Professor of Chemical and Biomolecular Engineering and of Materials Science and NanoEngineering,"BA (1982), MA (1987) Ohio State University"
 Sarah Bondos,. Adjunct Associate Professor of BioSciences, Professor of Chemical and Biomolecular Engineering and of Materials Science and NanoEngineering,BS (1993) University of North Carolina; PhD (1998) University of Illinois
 Elias K. Bongmba,. Harry and Hazel Chavanne Professor of Christian Theology, Professor of Religion,"BA (1987) Sioux Falls College; MDiv (1989) North American Baptist Seminary; MA (1991) University of Iowa; PhD (1995) University of Denver, Iliff School of Theology; DTheo hc, (2018) Lund University–Sweden"
 Aladin Boriek,. Adjunct Professor of Mechanical Engineering, Professor of Religion,"BSc (1980) Helwan Institute of Technology, Egypt; MSc (1984) University of Michigan; MSc (1989), PhD (1990) Rice University"
 Sharad Borle,. Associate Professor of Marketing, Professor of Religion,BTech (1989) Banaras Hindu University–Varanasi; MBA (1992) XLRI Institute of Management–Jamshedpur; PhD (2003) Carnegie Mellon University
 Natasha Bowdoin,. Associate Professor in Visual and Dramatic Arts, Professor of Religion,BA (2003) Brandeis University; MFA (2007) Tyler School of Art
 Dominic C. Boyer,. Professor of Anthropology, Professor of Religion,"BA (1992) Brown University; MA (1994), PhD (2000) University of Chicago"
 Richard Thomas Boylan,. Professor of Economics, Professor of Religion,"BA (1986) Pitzer College; MS (1988), PhD (1991) California Institute of Technology"
 Janet Braam,. Professor of BioSciences, Associate Dean for Strategic Initiatives,BS (1980) Southern Illinois University; PhD (1985) Sloan- Kettering Division of Cornell Graduate School of Medical Sciences
 Paul Brace,. Clarence L. Carter Professor of Political Science, Associate Dean for Strategic Initiatives,"BS (1976) University of Oregon; MA (1979), PhD (1982) Michigan State University"
 Gwendolyn M. Bradford,. Associate Professor of Philosophy, Associate Dean for Strategic Initiatives,"BA (2003) University of Toronto; MA (2006), MPhil (2008), PhD (2010) Yale University"
 Stephen J. Bradshaw,. Associate Professor of Physics and Astronomy, Associate Chair for the Undergraduate Program,MPhys (2000) University of Wales; PhD (2003) University of Cambridge
 Elizabeth Brake,. Professor of Philosophy, Associate Chair for the Undergraduate Program,"BS (1993) University of Oxford; M.Litt  (1995), PhD (1999) University of St. Andrews"
 Matthew Brake,. Assistant Professor of Mechanical Engineering, Associate Chair for the Undergraduate Program,"BS (2002), MS (2004), PhD (2007) Carnegie Mellon University"
 Michael Brandl,. Associate Clinical Professor of Finance, Associate Chair for the Undergraduate Program,"BS (1986), MA (1989) University of Wisconsin–Milwaukee; PhD (1996) University of Houston"
 Anthony K. Brandt,. Professor of Composition and Theory, Associate Chair for the Undergraduate Program,BA (1983) Harvard College; MA (1987) California Institute of the Arts; PhD (1993) Harvard University
 Jenifer L. Bratter,. Professor of Sociology, Director of Race Scholars at Rice,"BA (1995) Pennsylvania State University; MA (1998), PhD (2001) University of Texas–Austin"
 Heather Breikjern,. Lecturer of Theatre, Director of Race Scholars at Rice,BA (2002) University of Minnesota; MFA (2005) North Carolina School of the Arts
 Marcia Brennan,. Carolyn and Fred McManis Professor of Humanities, Professor of Religion and Art History,"BA (1988) Mt. Holyoke College; MA (1993), PhD (1997) Brown University"
 Douglas G. Brinkley,. Katherine Tsanoff Brown Professor in Humanities and Professor of History, Professor of Religion and Art History,"BA (1982) Ohio State University; MA (1983), PhD (1989) Georgetown University"
 Michael Brogioli,. Katherine Tsanoff Brown Professor in Humanities and Professor of History, Professor of Religion and Art History,"BA (1982) Ohio State University; MA (1983), PhD (1989) Georgetown University"
 Bryan W. Brown,. Reginald Henry Hargrove Professor of Economics and Statistics, Professor of Religion and Art History,"BA (1969), MA (1972) Texas Tech University; PhD (1977) University of Pennsylvania"
 James N. Brown,. Professor of Economics, Professor of Religion and Art History,"BA (1973) University of Redlands; MA (1975), PhD (1980) University of Chicago"
 Tony N. Brown,. Professor of Sociology, Professor of Religion and Art History,"BS (1991) University of Maryland–Eastern Shore; MA (1993), PhD (1998) University of Michigan–Ann Arbor"
 Logan D. Browning,. Professor of the Practice; Publisher, Executive Editor,BA (1977) University of the South; MA (1980) Oxford University; PhD (1999) University of North Carolina–Chapel Hill
 Brielle Bryan,. Assistant Professor of Sociology, Executive Editor,BA (2007) Vanderbilt University; MPP (2012) Georgetown University; PhD (2018) Harvard University
 Rachel Buchman,. Lecturer of Music, Executive Editor,BA (1978) Vassar College
 Zoran Budimlic,. Lecturer in Computer Science MCS Online Program, Executive Editor,BS (1984) University of Belgrade; PhD (2001) Rice University
 James L. Burch,. Adjunct Professor of Physics and Astronomy, Executive Editor,BS (1964) St. Mary's University: PhD (1968) Rice University; MSA (1973) George Washington University
 Alexander W. Butler,. Jesse H. Jones Professor of Finance, Executive Editor,"BA (1992) Rice University; MB (1996), PhD (1999) Indiana University"
 Barbara Butler,. Professor of Trumpet and Director of Artist Diploma Program, Executive Editor,BMus (1974) Northwestern University
 Leone Buyse,. Joseph and Ida Kirkland Mullen Professor of Flute, Executive Editor,BM (1968) Eastman School of Music; Certificat d’Etudes (1970) Paris Conservatory; MM (1980) Emporia State University
 Alexander X. Byrd,. Vice Provost for Diversity, Equity and Inclusion,"BA (1990) Rice University; MA (1996), PhD (2001) Duke University"
 John H. Byrne,. Adjunct Professor of Psychological Sciences and Electrical and Computer Engineering, Equity and Inclusion,"BS (1968), MA (1970), PhD (1973) New York University School of Engineering"
 Michael D. Byrne,. Professor of Psychological Sciences, Equity and Inclusion,"BA (1991), BS (1991) University of Michigan; MS (1993), MS (1995), PhD (1996) Georgia Institute of Technology"
 Peter C. Caldwell,. Samuel G. McCann Professor of History, Equity and Inclusion,"BA (1987) New York University; MA (1990), PhD (1993) Cornell University"
 Rossella Calvi,. Assistant Professor of Economics, Equity and Inclusion,"BA (2007), MSc (2010) Bocconi University, Milan; MA (2013), PhD (2016) Boston College"
 Joseph A. Campana,. William Shakespeare Professor of English, Professor of English Literature,"BA (1996) Williams College; MA (1997) University of Sussex; MA (2000), PhD (2003) Cornell University"
 Kathleen Canning,. Dean of the School of Humanities, Andrew W. Mellon Professor of History,"BA University of Oregon, MS (1983) Ruprecht-Karls-Universität ; PhD (1998) Johns Hopkins University"
 David R. Caprette,. Teaching Professor of BioSciences, Andrew W. Mellon Professor of History,"BS (1974) Case Western Reserve University; MS (1979), PhD (1982) Cleveland State University"
 Barbara A. Carlin,. Lecturer for the Professional Science Masters Program, Andrew W. Mellon Professor of History,BA (1975) University of Arizona; MSIS (1976) University of Pittsburg; PhD (1991) University of Texas-Austin
 Bruce Carlin,. Professor of Finance, Andrew W. Mellon Professor of History,"BS (1990), MD (1992), Northwestern University; MBA (2003) Washington University St. Louis; PhD (2007) Duke University"
 Daniel D. Carson,. Schlumberger Chair of Advanced Studies and Research, Professor of BioSciences,BS (1975) University of Pennsylvania; PhD (1979) Temple University
 Richard Carter,. Adjunct Professor of Computational and Applied Mathematics, Professor of BioSciences,BS (1979) Mississippi State University; PhD (1986) Rice University
 Robert S. Cartwright,. Professor of Computer Science, Professor of BioSciences,"BA (1971) Harvard College; MA (1973), PhD (1973) Stanford University"
 John J. Casbarian,. Harry K. and Albert K. Smith Professor of Architecture, Director of RSA External Programs,BA (1969) Rice University; MFA (1971) California Institute of the Arts; BArch (1972) Rice University
 Juan José Castellón Gonzalez,. Assistant Professor of Architecture, Director of RSA External Programs,MArch (2011) Architectural Association School of Architecture; DArch (2018) Swiss Federal Institute of Technology 
 Edward Castillo,. Adjunct Associate Professor of Computational and Applied Mathematics, Director of RSA External Programs,"BA (2001) St. Mary's University; MA (2005), PhD (2007) Rice University"
 Margarita Castroman,. Assistant Professor of African American Literature and Culture, Director of RSA External Programs,"BA (2005) Florida State University; MA (2008) University of Puerto Rico-Río Piedras; MA (2013) Columbia University; MA (2015), PhD (2020) Rutgers University"
 Jamie Catanese,. Assistant Teaching Professor of BioSciences, Director of RSA External Programs,BS (1998) Texas A&M University; PhD (2005) Rice University
 Mary Susan Cates,. Lecturer of BioSciences, Director of RSA External Programs,BS (1995) University of Houston; PhD (2000) Rice University
 Joseph R. Cavallaro,. Professor of Electrical and Computer Engineering and Computer Science, Director of RSA External Programs,BSEE (1981) University of Pennsylvania; MSEE (1982) Princeton University; PhD (1988) Cornell University
 Petr Chaguine,. Associate Research Professor of Physics and Astronomy, Director of RSA External Programs,"MS (1982) Institute for Physics and Technology, Moscow PhD (1991) Institute for High Energy Physics, Russia"
 Gregory Chambers,. Assistant Professor of Mathematics, Director of RSA External Programs,"BS, MS (2009), PhD (2014) University of Toronto"
 Anthony A. Chan,. Professor of Physics and Astronomy, Director of RSA External Programs,"BSc (1982), MSc (1984) University of Auckland; MA (1986), PhD (1989) Princeton University"
 Jesse Chan,. Assistant Professor of Computational and Applied Mathematics, Director of RSA External Programs,BA (2008) Rice University; PhD (2013) University of Texas–Austin
 Franklin R. Chang-Diaz,. Adjunct Professor of Physics and Astronomy, Director of RSA External Programs,BS (1973) University of Connecticut; PhD (1977) Massachusetts Institute of Technology
 Walter G. Chapman,. William W. Akers Professor of Chemical and Biomolecular Engineering, Director of RSA External Programs,BS (1983) Clemson University; PhD (1988) Cornell University
 James Chappell,. Assistant Professor of BioSciences and BioEngineering, Director of RSA External Programs,"BS (2008), PhD (2013) Imperial College, London"
 Sergio Chavez,. Associate Professor of Sociology, Director of RSA External Programs,"BA (1996), MS (1998) University of California–Davis; MS (2002), PhD (2007) Cornell University"
 E. Wassim Chehab,. Lecturer of BioSciences, Director of RSA External Programs,BS (1998) American University of Beirut; PhD (2003) University of Nevada
 Ang Chen,. Assistant Professor of Computer Science and Electrical and Computer Science , Director of RSA External Programs,BEng (2009) Wuhan University; PhD (2017) University of Pennsylvania
 Shih-Hui Chen,. Professor of Composition and Theory, Director of RSA External Programs,"Diploma (1982) National Academy of the Arts, Taiwan; MM (1985) Northern Illinois University; DMA (1993) Boston University"
 Songtao Chen,. Assistant Professor of Electrical and Computer Engineering, Director of RSA External Programs,"BS (2013) Zhejiang University; MS (2016) , PhD (2018) Brown University"
 Su Chen,. Assistant Teaching Professor in the Data to Knowledge Lab, Director of RSA External Programs,BS (2008) Zhejiang University; PhD (2020) University of Texas–Austin
 Wei Chen,. Adjunct Professor of Civil and Environmental Engineering, Director of RSA External Programs,"BS (1992) Nankai University, Tianjin, China; MS (1997), PhD (2000) Rice University"
 Eric Chi,. Associate Professor of Statistics, Director of RSA External Programs,"BA (1999) Rice University; MS (2001) University of California, Berkeley; MA, PHD (2011) Rice University"
 Taiyun Chi,. Assistant Professor of Electrical and Computer Engineering, Director of RSA External Programs,BS (2012) University of Science and Technology of China; PhD (2017) Georgia Institute of Technology
 Leroy Chiao,. Lecturer of Mechanical Engineering, Director of RSA External Programs,"BS (1983) University of California-Berkley; MS (1985), PhD (1987) University of California-Santa Barbara"
 Wah Chiu,. Adjunct Professor of Computer Science, Director of RSA External Programs,"BA (1969), PhD (1975) University of California– Berkeley"
 Jaeyeon Chung,. Assistant Professor in Marketing, Director of RSA External Programs,"BA (2009) University of Michigan; MS (2011), PhD (2018) Columbia University"
 Joseph Cibor,. Adjunct Professor of the Practice in Civil Engineering Management, Director of RSA External Programs,"BS (1976), MS (1978) Purdue University"
 Nathan Citino,. Barbara Kirkland Chiles Professor of History, Director of RSA External Programs,"BA (1993) University of Notre Dame; MA (1998), PhD (1999) Ohio State University"
 Marco A. Ciufolini,. Adjunct Professor of Chemistry, Director of RSA External Programs,BS (1978) Spring Hill College; PhD (1981) University of Michigan
 Cecilia Clementi,. Wiess Career Development Chair, Professor of Chemistry and of Chemical and Biomolecular Engineering,"BS (1995) University of Florence; MS (1996), PhD (1998) International School for Advanced Studies, Italy"
 Niki Clements,. Watt and Lilly Jackson Assistant Professor of Biblical Studies, Assistant Professor of Religion,BA (2003) Sarah Lawrence; MTS (2007) Harvard Divinity School; PhD (2014) Brown University
 Daniel Cohan,. Associate Professor of Civil and Environmental Engineering, Assistant Professor of Religion,BA (1998) Harvard University; PhD (2004) Georgia Institute of Technology
 G. Daniel Cohen,. Samuel W. and Goldye Marian Spain Associate Professor of Jewish Studies, Associate of McMurtry College,"BA (1991) Tel Aviv University; MA (1992) Institute of French Studies; MA (1993), PhD (2000) New York University"
 Marya Cokar,. Assistant Teaching Professor of Chemical and Biomolecular Engineering, Associate of McMurtry College,"BS (2009), PhD (2013) University of Calgary"
 Scott Colman,. Assistant Professor of Architecture, Associate of McMurtry College,"BS (1994), PhD (1998) University of Sydney; M.Arch (2006) Ohio State University"
 Andrew Colopy,. Associate Professor of Architecture, Associate of McMurtry College,BS (2003) Ohio State University; MArch (2006) Columbia University
 Krista Comer,. Professor of English, Associate of McMurtry College,BA (1988) Wellesley College; PhD (1996) Brown University
 Michael Cone,. Instructor of Physics and Astronomy, Associate of McMurtry College,"BA, BS (2003) Truman State University; PhD (2014) Texas A&M University"
 Brian Connelly,. Artist Teacher of Piano and Director of Piano Chamber Music and Accompanying Program, Associate of McMurtry College,"BMus (1980), MMus (1983) University of Michigan"
 David Cook,. Professor of Religion, Associate of Brown College,"BA (1994), MA (1996) Hebrew University; PhD (2001) University of Chicago"
 Keith D. Cooper,. L. John and Ann H. Doerr Chair in Computational Engineering, Professor of Computer Science and Electrical and Computer Engineering,"BS (1978), MA (1982), PhD (1983) Rice University"
 John M. Cornwell,. Associate Vice President for Institutional Effectiveness and Institutional Research, Adjunct Professor of Psychological Sciences,BA (1977) Capital University; MS (1982) Georgia Institute of Technology; PhD (1987) University of Tennessee
